City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Kaspiysk,40,RU,1655902330,65,42.8816,47.6392,80.78,2.24
81,Nguruka,30,TZ,1655902207,22,-5.1092,31.0419,85.21,3.44
82,Mar del Plata,75,AR,1655901883,59,-38.0023,-57.5575,47.08,5.75
83,Chicama,25,PE,1655902135,81,-7.8447,-79.1469,59.54,5.7
84,West Wendover,0,US,1655902331,33,40.7391,-114.0733,56.41,3.44
85,La Macarena,97,CO,1655902331,98,2.1837,-73.7849,72.16,2.33
86,Hobyo,100,SO,1655902283,69,5.3505,48.5268,80.73,27.85
87,Dikson,100,RU,1655902180,92,73.5069,80.5464,37.76,14.97
88,Vao,94,NC,1655902183,65,-22.6667,167.4833,71.11,13.67
89,San Ramon,0,US,1655902332,51,37.7799,-121.978,72.64,0.0
90,Castro,1,BR,1655902119,67,-24.7911,-50.0119,68.79,10.4
91,Puerto Peñasco,21,MX,1655902332,71,31.3167,-113.5333,82.18,3.47
92,Ponta Delgada,20,PT,1655902227,68,37.7333,-25.6667,69.49,23.02
93,Hermanus,41,ZA,1655902124,60,-34.4187,19.2345,68.81,0.87
94,Tuktoyaktuk,88,CA,1655902147,62,69.4541,-133.0374,44.15,7.7
95,Bathsheba,75,BB,1655902199,83,13.2167,-59.5167,81.21,12.66
96,Norman Wells,75,CA,1655902181,94,65.282,-126.8329,55.44,6.91
97,Pine Bluff,0,US,1655902334,89,34.2284,-92.0032,80.1,0.0
98,Laguna,0,US,1655902131,56,38.421,-121.4238,71.96,6.91
99,Maniitsoq,100,GL,1655902212,96,65.4167,-52.9,35.47,3.36
100,Kupang,100,ID,1655902334,67,-10.1667,123.5833,78.84,16.06
101,Tongliao,100,CN,1655902130,92,43.6125,122.2653,68.07,7.63
102,Tateyama,97,JP,1655902335,94,34.9833,139.8667,73.09,7.11
103,Mount Gambier,100,AU,1655902139,90,-37.8333,140.7667,54.84,8.5
104,Guymon,20,US,1655902335,77,36.6828,-101.4816,64.4,8.05
105,Souillac,40,MU,1655902336,60,-20.5167,57.5167,75.58,11.5
106,Manaure,18,CO,1655902254,69,11.7751,-72.4445,83.01,18.68
107,Taoudenni,0,ML,1655902283,14,22.6783,-3.9836,109.04,12.35
108,Malanville,94,BJ,1655902336,35,11.8685,3.3899,94.46,4.16
109,Røros,40,NO,1655902337,58,62.5747,11.3842,57.04,9.22
110,Port Elizabeth,0,ZA,1655902147,77,-33.918,25.5701,70.11,8.05
111,Talara,91,PE,1655902337,76,-4.5772,-81.2719,65.28,17.94
112,Teguise,20,ES,1655902337,44,29.0605,-13.564,75.42,13.8
113,Chara,74,RU,1655902292,79,56.9064,118.2631,56.55,7.94
114,New Norfolk,32,AU,1655902096,87,-42.7826,147.0587,45.72,3.2
115,Vaini,20,TO,1655902132,73,-21.2,-175.2,71.76,11.5
116,Carnarvon,1,AU,1655902213,57,-24.8667,113.6333,71.19,9.22
117,Poum,100,NC,1655902120,61,-20.2333,164.0167,73.02,7.16
118,Taikang,100,CN,1655902339,63,46.8333,124.4167,76.28,14.9
119,Rundu,0,NA,1655902339,21,-17.9333,19.7667,81.61,7.72
120,Khovd,0,MN,1655902179,19,48.0056,91.6419,81.61,7.43
121,Hambantota,40,LK,1655902190,74,6.1241,81.1185,84.54,10.36
122,Lavrentiya,100,RU,1655902206,98,65.5833,-171.0,40.46,8.25
123,Potsdam,100,DE,1655902083,24,52.3989,13.0657,85.1,3.0
124,Am Timan,5,TD,1655902147,32,11.0297,20.2827,96.67,1.07
125,Kavieng,100,PG,1655902131,78,-2.5744,150.7967,81.27,4.54
126,North Bend,100,US,1655902340,99,43.4065,-124.2243,55.92,4.61
127,São Filipe,100,CV,1655902213,86,14.8961,-24.4956,76.23,3.98
128,Sitka,100,US,1655902155,87,57.0531,-135.33,48.09,0.0
129,Ostróda,93,PL,1655902341,53,53.6967,19.9649,70.61,6.91
130,Luís Correia,20,BR,1655902341,74,-2.8792,-41.6669,86.0,9.22
131,Olinda,75,BR,1655902248,88,-8.0089,-34.8553,76.73,12.66
132,Ostrovnoy,93,RU,1655902190,60,68.0531,39.5131,55.26,8.12
133,Hong Kong,87,HK,1655901968,80,22.2855,114.1577,86.38,8.99
134,Tshikapa,96,CD,1655902342,26,-6.4167,20.8,88.65,3.58
135,Thompson,20,CA,1655902230,76,55.7435,-97.8558,50.16,2.3
136,Riyadh,3,SA,1655902343,6,24.6877,46.7219,114.94,4.34
137,Saint George,0,US,1655902263,17,37.1041,-113.5841,74.62,8.99
138,Vanavara,100,RU,1655902343,54,60.34,102.2797,63.41,2.46
139,Suba,100,PH,1655902343,79,10.8438,121.0102,81.43,16.15
140,Bengkulu,100,ID,1655902123,84,-3.8004,102.2655,77.92,1.77
141,Ingham,0,US,1655902216,59,42.6,-84.3833,78.98,5.75
142,Maţāy,0,EG,1655902345,18,28.419,30.7792,96.73,16.93
143,Longyearbyen,75,SJ,1655902216,57,78.2186,15.6401,48.04,14.97
144,Lompoc,100,US,1655902149,97,34.6391,-120.4579,56.57,0.0
145,Faya,88,SA,1655902266,28,18.3851,42.4509,84.31,12.24
146,Bayir,0,TR,1655902346,25,37.2687,28.2167,93.72,13.4
147,Carutapera,100,BR,1655902295,89,-1.195,-46.02,76.62,3.38
148,Emerald,0,AU,1655902347,59,-23.5333,148.1667,57.97,7.05
149,Upernavik,100,GL,1655902152,99,72.7868,-56.1549,33.94,10.63
150,Grand Gaube,10,MU,1655902347,61,-20.0064,57.6608,75.6,7.0
151,Ballina,71,AU,1655902348,98,-28.8667,153.5667,53.02,4.03
152,Abu Dhabi,0,AE,1655902248,29,24.4667,54.3667,105.91,10.36
153,Lata,92,PT,1655902248,68,40.1629,-8.3327,64.92,7.74
154,Kumul,3,CN,1655902349,10,42.8,93.45,95.41,3.56
155,Yara,57,CU,1655902350,86,20.2753,-76.9533,78.46,7.45
156,Saint-Pierre,75,RE,1655902236,56,-21.3393,55.4781,74.91,11.5
157,Yellowknife,20,CA,1655902137,62,62.456,-114.3525,55.92,15.01
158,Goderich,86,CA,1655902188,98,43.7501,-81.7165,68.92,8.14
159,Ozinki,42,RU,1655902351,36,51.1786,49.6769,84.34,7.52
160,Caucayá,95,CO,1655902351,94,-0.1934,-74.7819,73.44,1.36
161,Oranjemund,0,NA,1655902205,72,-28.55,16.4333,58.01,6.44
162,Leningradskiy,3,RU,1655902188,79,69.3833,178.4167,33.08,6.62
163,Berekum,97,GH,1655902336,66,7.4534,-2.584,81.16,5.1
164,Sarkand,9,KZ,1655902352,30,45.41,79.9186,87.08,10.27
165,Yulara,0,AU,1655902252,46,-25.2406,130.9889,57.61,8.05
166,Rize,100,TR,1655902353,91,40.9044,40.8949,50.34,3.27
167,Fare,4,PF,1655902353,68,-16.7,-151.0167,79.92,14.23
168,Šalčininkai,9,LT,1655902353,52,54.3,25.3833,68.85,11.12
169,Province of Mantua,100,IT,1655902353,64,45.1667,10.7833,85.24,3.0
170,Pangnirtung,75,CA,1655902161,100,66.1451,-65.7125,33.8,2.3
171,Tessalit,19,ML,1655902354,8,20.1986,1.0114,108.86,11.52
172,Dunedin,5,NZ,1655902184,84,-45.8742,170.5036,37.8,3.74
173,Schruns,98,AT,1655902263,100,47.0709,9.9475,60.62,3.65
174,La Santisima Trinidad,33,BO,1655902355,94,-14.8333,-64.9,71.58,0.0
175,Korla,100,CN,1655902355,12,41.7597,86.1469,93.7,8.21
176,Mandalgovi,19,MN,1655902240,40,45.7625,106.2708,66.74,22.88
177,Alibunar,20,RS,1655902356,23,45.0808,20.9658,83.8,10.83
178,Esim,100,GH,1655902302,77,4.8699,-2.2405,78.49,6.85
179,Constitución,100,CL,1655902356,76,-35.3333,-72.4167,53.29,12.73
180,Sovkhoznyy,0,RU,1655902357,40,45.2946,38.1138,77.07,17.36
181,Ponta do Sol,59,PT,1655902234,60,32.6667,-17.1,72.72,7.99
182,Saint-Joseph,1,RE,1655902178,69,-21.3667,55.6167,70.18,9.95
183,Yoichi,100,JP,1655902358,82,43.2039,140.7703,63.34,4.85
184,Los Llanos de Aridane,75,ES,1655902358,82,28.6585,-17.9182,67.75,6.91
185,Mikhaylovka,68,RU,1655902358,77,50.06,43.2379,71.38,6.42
186,Port Hedland,0,AU,1655902359,68,-20.3167,118.5667,68.05,2.3
187,Nanpiao,100,CN,1655902359,95,41.0982,120.7479,70.86,2.59
188,Takoradze,100,GH,1655902289,83,4.8845,-1.7554,78.03,8.41
189,Brainerd,0,US,1655902359,72,46.358,-94.2008,65.25,5.75
190,Ulcinj,0,ME,1655902361,61,41.9294,19.2244,89.82,9.64
191,Uniontown,94,US,1655902361,51,39.9001,-79.7164,78.87,1.99
192,Paralímni,0,CY,1655902361,83,35.0375,33.9833,93.69,7.0
193,Saint Paul,0,US,1655902361,70,44.9444,-93.0933,71.89,10.36
194,Fortuna,0,US,1655902211,100,40.5982,-124.1573,52.14,0.0
195,Paamiut,5,GL,1655902179,84,61.994,-49.6678,37.72,25.01
196,Port Blair,75,IN,1655902362,83,11.6667,92.75,82.44,3.44
197,Babayurt,85,RU,1655902362,29,43.6002,46.7789,90.12,17.87
198,Hohhot,20,CN,1655902363,47,40.8106,111.6522,77.29,6.71
199,Zheleznodorozhnyy,92,RU,1655902363,45,55.7503,38.0042,70.32,12.5
200,Mount Isa,0,AU,1655902249,39,-20.7333,139.5,65.97,8.05
201,Biharamulo,45,TZ,1655902363,32,-2.6319,31.3089,79.21,4.18
202,Alofi,100,NU,1655902197,73,-19.0595,-169.9187,76.89,9.22
203,Phan Thiet,100,VN,1655902335,85,10.9333,108.1,80.78,5.48
204,Iralaya,99,HN,1655902364,80,15.0,-83.2333,80.44,10.36
205,Sistranda,100,NO,1655902364,80,63.7256,8.834,53.56,7.87
206,Nhulunbuy,40,AU,1655902365,69,-12.2333,136.7667,77.61,18.41
207,Ambilobe,87,MG,1655902365,58,-13.2,49.05,78.24,4.85
208,Praia da Vitória,75,PT,1655902366,82,38.7333,-27.0667,66.45,14.58
209,Torbay,75,CA,1655902148,82,47.6666,-52.7314,65.28,9.22
210,Beloslav,20,BG,1655902366,75,43.1833,27.7,87.85,11.5
211,Bilma,6,NE,1655902367,9,18.6853,12.9164,106.07,4.88
212,Sterling,0,US,1655902367,76,39.0062,-77.4286,79.88,3.0
213,Hamilton,39,US,1655902367,73,39.1834,-84.5333,81.77,1.01
214,Borogontsy,0,RU,1655902300,58,62.6683,131.1683,59.76,4.23
215,Bethel,100,US,1655902169,95,41.3712,-73.414,63.45,8.05
216,Provideniya,100,RU,1655902167,99,64.3833,-173.3,41.72,10.29
